105	ENG Enigma	ENG	$191,619,513	$2.56	74,836,171 *	$7,331,200	-0.60%	-4.11%	5.26%	
106	RPX Red Pulse	RPX	$189,284,687	$0.348367	543,348,500 *	$3,744,540	-1.66%	-8.57%	130.59%	
107	EDG Edgeless	EDG	$189,164,281	$2.31	82,046,288 *	$9,033,370	1.01%	0.10%	2.55%	
108	ZCL ZClassic	ZCL	$187,317,920	$103.50	1,809,800	$34,228,200	3.87%	11.25%	1104.20%	
109	DCN Dentacoin	DCN	$185,205,583	$0.000570	325,190,215,376 *	$531,448	0.79%	-0.32%	140.42%	
110	RCN Ripio Credit ...	RCN	$182,374,591	$0.372929	489,033,009 *	$18,844,300	2.56%	-2.01%	7.70%	
111	BAY BitBay	BAY	$175,671,243	$0.174153	1,008,717,866 *	$6,143,010	-0.71%	-1.93%	-26.37%	
112	NXS Nexus	NXS	$173,326,886	$3.17	54,747,715	$665,758	2.18%	0.16%	-11.71%	
113	MTL Metal	MTL	$171,626,176	$8.89	19,300,994 *	$17,324,800	-0.22%	16.09%	1.35%	
114	SNGLS SingularDTV	SNGLS	$171,439,200	$0.285732	600,000,000 *	$6,679,440	-1.56%	15.67%	9.54%	
115	ADX AdEx	ADX	$170,952,786	$2.84	60,248,315 *	$21,569,100	0.34%	2.13%	17.14%	
116	RHOC RChain	RHOC	$167,734,437	$0.916766	182,963,195 *	$1,111,370	0.92%	35.20%	74.87%	
117	ZEN ZenCash	ZEN	$162,937,112	$56.09	2,905,063	$3,392,990	-0.08%	-0.15%	31.72%	
118	PART Particl	PART	$160,519,721	$20.51	7,825,497 *	$422,052	1.49%	-3.89%	16.72%	
119	R Revain	R	$160,408,418	$0.869658	184,450,000 *	$871,282	-1.92%	-3.80%	56.31%	
120	LEND ETHLend	LEND	$159,498,529	$0.157466	1,012,907,733 *	$17,043,900	-0.94%	-13.14%	116.07%	
121	STORM Storm	STORM	$155,347,009	$0.063939	2,429,624,141 *	$3,245,490	-1.41%	-0.63%	142.69%	
